Question,Answer
I want to book a ticket,booking
can i book a train?,booking
can i book a ticket?,booking
can i book a ticket from ,booking
can i have a ticket,booking
ticket,booking
book,booking
reserve,booking
order,booking
i would like to book a train from cambridge to london,booking
when is the next train to bristol,booking
whats the cheapest train to birmingham,booking
find me a cheap train to newcastle,booking
i need a cheap and quick train to london tomorrow,booking
I need to get a train ticket,booking
I need a train ticket,booking
I need to catch a train,booking
find me train tickets,booking
find me cheap trains,booking
find me cheap tickets,booking
I'm delayed,delay
i am delayed,delay
how long am i likely to be delayed?,delay
how late is ,delay
I'm late,delay
how much longer is this going to be?,delay
delay,delay
delayed,delay
late,delay
can you help me with my delay?,delay
how late am I likely to be?,delay
do you know when will I arrive,delay
when will i get there,delay
im delayed from london,delay
im delayed from norwich,delay
my train is delayed,delay
can you estimate the delay for my train,delay
can you estimate the delay for my journey,delay
when will I arrive,delay
